docker_images,rewards,exp_names,num_steps,patch_sizes,exit_reasons,p2p_rates,avg_yes_prob,gt_correct
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-11551,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,77,3544,token_limit,119,0.8175744695262775,True
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-11490,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,49,2690,agent_max_step_limit,22,0.8807970795424087,False
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-24443,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,34,2999,agent,1,0.8519528076067262,True
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-15022,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,41,1263,max_step_limit,56,0.5926665999540698,True
slimshetty/swebench-verified:sweb.eval.x86_64.pytest-dev__pytest-7205,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,30,483,agent,16,0.7772998714925403,True
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-11211,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,42,4887,agent_max_step_limit,70,0.679178692681616,False
slimshetty/swebench-verified:sweb.eval.x86_64.psf__requests-2931,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,18,924,agent,83,0.9046505338155469,False
slimshetty/swebench-verified:sweb.eval.x86_64.astropy__astropy-8707,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,81,0,token_limit,4,5.82912515827149e-05,False
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-15278,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,82,0,token_limit,138,0.000487857111116784,False
slimshetty/swebench-verified:sweb.eval.x86_64.sphinx-doc__sphinx-7985,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,3519,abs_step_limit,3,0.5,False
slimshetty/swebench-verified:sweb.eval.x86_64.matplotlib__matplotlib-25775,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,44,3104,agent_max_step_limit,89,0.13296424535145931,True
slimshetty/swebench-verified:sweb.eval.x86_64.pallets__flask-5014,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,17,1063,agent,59,0.8933094060543488,True
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-23262,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,68,0,token_limit,61,0.0003353500679260348,False
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-24066,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,42,1126,agent_max_step_limit,30,0.6224593312018546,True
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-16560,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,4942,abs_step_limit,66,0.02595735790421172,False
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-13449,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,66,0,token_limit,46,0.00043055708221392293,False
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-15561,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,53,3556,agent_max_step_limit,141,0.8519528019683106,True
slimshetty/swebench-verified:sweb.eval.x86_64.pylint-dev__pylint-7080,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,35,488,agent,4,0.7549149868676284,False
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-11133,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,43,2403,agent_max_step_limit,64,0.8933093975331752,True
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-14855,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,94,5727,token_limit,325,0.798186775339273,True
slimshetty/swebench-verified:sweb.eval.x86_64.pydata__xarray-3677,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,29,532,agent,21,0.8807970779778824,True
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-18199,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,34,3151,agent,113,0.8175744673038222,False
slimshetty/swebench-verified:sweb.eval.x86_64.scikit-learn__scikit-learn-25931,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,39,1552,agent,8,0.10669059465574898,False
