docker_images,rewards,exp_names,num_steps,patch_sizes,exit_reasons,p2p_rates,avg_yes_prob,gt_correct
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-19954,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,37,3055,agent,56,0.9046505318875316,True
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-11490,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,49,2690,agent_max_step_limit,22,0.8354835411997897,False
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-11551,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,77,3544,token_limit,119,0.8807970826714614,True
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-14855,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,94,5727,token_limit,325,0.8670357477770337,True
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-19783,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,1187,abs_step_limit,9,0.06008664491424768,False
slimshetty/swebench-verified:sweb.eval.x86_64.matplotlib__matplotlib-24870,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,22,2267,agent,65,0.817574478416099,False
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-24443,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,34,2999,agent,1,0.8354835432479661,True
slimshetty/swebench-verified:sweb.eval.x86_64.scikit-learn__scikit-learn-25931,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,39,1552,agent,8,0.2942149783515163,False
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-16560,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,4942,abs_step_limit,66,0.14804719051380197,False
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-11211,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,42,4887,agent_max_step_limit,70,0.679178699175393,False
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-24066,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,42,1126,agent_max_step_limit,30,0.8175744739711883,True
slimshetty/swebench-verified:sweb.eval.x86_64.psf__requests-2931,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,18,924,agent,83,0.8670357701094303,False
slimshetty/swebench-verified:sweb.eval.x86_64.matplotlib__matplotlib-25775,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,44,3104,agent_max_step_limit,89,0.5312093733737563,True
slimshetty/swebench-verified:sweb.eval.x86_64.pytest-dev__pytest-7205,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,30,483,agent,16,0.8175744828610095,True
