docker_images,rewards,exp_names,num_steps,patch_sizes,exit_reasons,p2p_rates,avg_yes_prob,gt_correct,regression_pass_count
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-19954,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,37,3055,agent,56,0.9046505318875316,True,57
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-11490,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,49,2690,agent_max_step_limit,22,0.8354835411997897,False,23
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-11551,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,77,3544,token_limit,119,0.8807970826714614,True,119
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-14855,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,94,5727,token_limit,325,0.8670357477770337,True,325
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-19783,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,1187,abs_step_limit,9,0.0600866449142476,False,10
slimshetty/swebench-verified:sweb.eval.x86_64.matplotlib__matplotlib-24870,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,22,2267,agent,65,0.817574478416099,False,65
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-24443,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,34,2999,agent,1,0.8354835432479661,True,2
slimshetty/swebench-verified:sweb.eval.x86_64.scikit-learn__scikit-learn-25931,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,39,1552,agent,8,0.2942149783515163,False,8
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-16560,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,4942,abs_step_limit,66,0.1480471905138019,False,69
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-11211,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,42,4887,agent_max_step_limit,70,0.679178699175393,False,70
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-24066,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,42,1126,agent_max_step_limit,30,0.8175744739711883,True,30
slimshetty/swebench-verified:sweb.eval.x86_64.psf__requests-2931,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,18,924,agent,83,0.8670357701094303,False,84
slimshetty/swebench-verified:sweb.eval.x86_64.matplotlib__matplotlib-25775,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,44,3104,agent_max_step_limit,89,0.5312093733737563,True,92
slimshetty/swebench-verified:sweb.eval.x86_64.pytest-dev__pytest-7205,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,30,483,agent,16,0.8175744828610095,True,16
slimshetty/swebench-verified:sweb.eval.x86_64.sphinx-doc__sphinx-7985,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,3519,abs_step_limit,3,0.8670357683915538,False,5
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-15278,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,82,0,token_limit,138,6.605213663801881e-05,False,138
slimshetty/swebench-verified:sweb.eval.x86_64.pydata__xarray-3677,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,29,532,agent,21,0.7772998508568416,True,21
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-15022,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,41,1263,max_step_limit,56,0.5926665999540698,True,56
slimshetty/swebench-verified:sweb.eval.x86_64.pylint-dev__pylint-7080,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,35,488,agent,4,0.8519528019683106,False,121
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-12308,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,35,2713,agent,20,0.7981867825403177,False,21
slimshetty/swebench-verified:sweb.eval.x86_64.scikit-learn__scikit-learn-14496,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,43,1015,agent_max_step_limit,39,0.7310585786300049,True,40
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-23262,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,68,0,token_limit,61,4.006371124165013e-05,False,62
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-18199,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,34,3151,agent,113,0.8175744739711883,False,114
slimshetty/swebench-verified:sweb.eval.x86_64.astropy__astropy-8707,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,81,0,token_limit,4,6.1441753337365085e-06,False,4
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-13343,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,3889,abs_step_limit,130,0.798186784940666,True,131
slimshetty/swebench-verified:sweb.eval.x86_64.pallets__flask-5014,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,17,1063,agent,59,0.8670357598021707,True,59
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-13449,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,66,0,token_limit,46,0.0001088969217374,False,46
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-15561,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,53,3556,agent_max_step_limit,141,0.8670357649558006,True,141
slimshetty/swebench-verified:sweb.eval.x86_64.pydata__xarray-4629,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,15,505,agent,32,0.8933094025038598,True,32
slimshetty/swebench-verified:sweb.eval.x86_64.sympy__sympy-22456,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,48,752,agent_max_step_limit,29,0.8354835309589074,True,30
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-13089,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,49,3165,agent_max_step_limit,352,0.7981867705385763,True,349
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-11133,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,43,2403,agent_max_step_limit,64,0.8807970779778824,True,64
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-17084,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,82,3453,token_limit,107,0.6791786991753931,True,107
slimshetty/swebench-verified:sweb.eval.x86_64.matplotlib__matplotlib-23412,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,35,1715,agent,46,0.2227001336663842,True,46
slimshetty/swebench-verified:sweb.eval.x86_64.scikit-learn__scikit-learn-14053,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,19,684,agent,5,0.7549149923816048,True,6
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-16612,1.0,r2egym-qwen3-rl-100-steps-1-attempt-2,59,4244,agent_max_step_limit,335,0.7772998714925403,True,333
slimshetty/swebench-verified:sweb.eval.x86_64.django__django-11333,0.0,r2egym-qwen3-rl-100-steps-1-attempt-2,100,1524,abs_step_limit,2,0.7981867873410141,False,2
